Wall time,Step,Value
1737906058.5623732,11299,5.9499045164557174e-05
1737906095.905504,11349,5.93678341829218e-05
1737906133.312864,11399,5.92374854022637e-05
1737906170.705586,11449,5.910799518460408e-05
1737906208.11235,11499,5.8979345340048894e-05
1737906245.552088,11549,5.885153586859815e-05
1737906283.0272589,11599,5.872455221833661e-05
1737906320.6998231,11649,5.859838711330667e-05
1737906358.166084,11699,5.847303327755071e-05
1737906396.1548421,11749,5.834847979713231e-05
1737906433.7824042,11799,5.822471939609386e-05
1737906471.7346802,11849,5.810174116049893e-05
1737906509.333167,11899,5.797954145236872e-05
1737906547.237622,11949,5.7858105719788e-05
1737906584.962486,11999,5.773743396275677e-05
1737906622.664166,12049,5.76175116293598e-05
1737906660.2896152,12099,5.749833508161828e-05
1737906739.22278,12149,5.7379893405595794e-05
1737906776.931662,12199,5.726217932533473e-05
1737906814.569799,12249,5.714518920285627e-05
1737906852.969595,12299,5.702891212422401e-05
1737906890.718171,12349,5.6913344451459125e-05
1737906928.100947,12399,5.6798475270625204e-05
1737906965.6136189,12449,5.668429730576463e-05
1737907003.057183,12499,5.65708069188986e-05
1737907040.435072,12549,5.645799319609068e-05
1737907077.797454,12599,5.634585249936208e-05
1737907115.169205,12649,5.623437755275518e-05
1737907152.6259,12699,5.6123564718291163e-05
1737907190.04796,12749,5.601339944405481e-05
1737907227.4349608,12799,5.590388173004612e-05
1737907264.8604128,12849,5.579500793828629e-05
1737907302.273361,12899,5.568676351686008e-05
1737907339.537366,12949,5.55791484657675e-05
1737907376.917599,12999,5.547215187107213e-05
1737907414.803912,13049,5.536577373277396e-05
1737907453.007495,13099,5.526000677491538e-05
1737907491.3240929,13149,5.5154840083559975e-05
1737907529.73685,13199,5.505027365870774e-05
1737907567.814982,13249,5.494630022440106e-05
1737907606.060504,13299,5.484291250468232e-05
1737907644.05425,13349,5.474010686157271e-05
1737907682.1442518,13399,5.463787601911463e-05
1737907720.2620668,13449,5.453621633932926e-05
1737907758.138245,13499,5.4435120546258986e-05
1737907796.125831,13549,5.4334588639903814e-05
1737907834.282905,13599,5.423460970632732e-05
1737907873.0294452,13649,5.4135180107550696e-05
1737907911.547554,13699,5.4036296205595136e-05
1737907949.3635159,13749,5.3937950724503025e-05
1737907987.4164531,13799,5.384014002629556e-05
1737908025.4570408,13849,5.3742860472993925e-05
1737908063.371549,13899,5.364610842661932e-05
1737908101.3491032,13949,5.3549872973235324e-05
1737908139.256094,13999,5.345415775082074e-05
1737908177.1660411,14049,5.335895184543915e-05
1737908214.827175,14099,5.3264251619111747e-05
1737908252.713634,14149,5.317005707183853e-05
1737908290.577949,14199,5.3076357289683074e-05
1737908328.752508,14249,5.2983152272645384e-05
1737908366.920682,14299,5.289043838274665e-05
1737908405.123502,14349,5.279820834402926e-05
1737908443.0197718,14399,5.270645851851441e-05
1737908480.8219972,14449,5.2615185268223286e-05
1737908518.98702,14499,5.2524384955177084e-05
1737908556.937817,14549,5.2434053941396996e-05
1737908594.825865,14599,5.234418495092541e-05
1737908632.895286,14649,5.2254777983762324e-05
1737908671.1673758,14699,5.2165825763950124e-05
1737908709.061557,14749,5.207732829148881e-05
1737908747.115056,14799,5.198928192839958e-05
1737908785.244759,14849,5.1901675760746e-05
1737908823.552042,14899,5.181451342650689e-05
1737908861.643679,14949,5.172779128770344e-05
1737908899.5421069,14999,5.1641498430399224e-05
1737908937.63488,15049,5.155563849257305e-05
1737908975.60291,15099,5.147020419826731e-05
1737909054.771182,15149,5.1385195547482e-05
1737909092.984044,15199,5.13006052642595e-05
1737909131.182604,15249,5.1216429710621014e-05
1737909168.97298,15299,5.1132668886566535e-05
1737909206.9227872,15349,5.1049319154117256e-05
1737909244.6855412,15399,5.0966373237315565e-05
1737909282.450227,15449,5.088383113616146e-05
1737909320.21363,15499,5.080168921267614e-05
1737909357.895784,15549,5.071994382888079e-05
1737909395.530905,15599,5.06385913467966e-05
1737909433.205162,15649,5.0557628128444776e-05
1737909470.9043882,15699,5.047705417382531e-05
1737909508.746735,15749,5.0396862206980586e-05
1737909546.617163,15799,5.031705222791061e-05
1737909584.4743192,15849,5.023762059863657e-05
1737909622.2217119,15899,5.015856368117966e-05
1737909660.06735,15949,5.007987783756107e-05
1737909697.7148201,15999,5.000156306778081e-05
1737909735.457035,16049,4.9923612095881253e-05
1737909773.199851,16099,4.984602492186241e-05
1737909810.8819351,16149,4.976880154572427e-05
1737909848.64363,16199,4.969193469150923e-05
1737909886.5334551,16249,4.961542072123848e-05
1737909924.264776,16299,4.9539259634912014e-05
1737909962.0628438,16349,4.946344779455103e-05
1737909999.694092,16399,4.9387985200155526e-05
1737910037.414214,16449,4.931286457576789e-05
1737910075.430468,16499,4.9238089559366927e-05
1737910113.455617,16549,4.9163649237016216e-05
1737910151.859257,16599,4.9089547246694565e-05
1737910190.001056,16649,4.9015779950423166e-05
1737910227.776983,16699,4.894234371022321e-05
1737910265.8570151,16749,4.88692348881159e-05
1737910303.862946,16799,4.879645712208003e-05
1737910341.8917341,16849,4.872399949817918e-05
1737910380.350584,16899,4.865186565439217e-05
1737910418.525105,16949,4.858004831476137e-05
1737910456.9193,16999,4.85085511172656e-05
1737910495.435734,17049,4.8437366785947233e-05
1737910533.558603,17099,4.836649895878509e-05
1737910571.7251189,17149,4.8295936721842736e-05
1737910609.9589639,17199,4.822568371309899e-05
1737910648.0510132,17249,4.8155736294575036e-05
1737910686.263371,17299,4.808609446627088e-05
1737910724.43949,17349,4.8016750952228904e-05
1737910763.385215,17399,4.794770939042792e-05
1737910801.4693062,17449,4.7878962504910305e-05
1737910839.536098,17499,4.781051029567607e-05
1737910877.62689,17549,4.7742352762725204e-05
1737910915.660039,17599,4.76744826301001e-05
1737910953.748885,17649,4.7606903535779566e-05
1737910991.5069911,17699,4.753961184178479e-05
1737911029.286228,17749,4.747260391013697e-05
1737911067.458935,17799,4.74058797408361e-05
1737911105.8817039,17849,4.733943205792457e-05
1737911143.945663,17899,4.727326813735999e-05
1737911181.93209,17949,4.7207377065205947e-05
1737911220.024103,17999,4.714176247944124e-05
1737911258.000725,18049,4.7076420742087066e-05
1737911296.234849,18099,4.701134821516462e-05
1737911334.255059,18149,4.694654489867389e-05
1737911413.354065,18199,4.688201079261489e-05
1737911451.383112,18249,4.681774225900881e-05
1737911489.395278,18299,4.675373565987684e-05
1737911527.625568,18349,4.668999099521898e-05
